Dec. 2, 2025   17:42:36
A.C. Impedance
File: c:\Data Source:  Experiment
Instrument Model:  CHI604F
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+4, 4.992e+0, -2.341e+0, 5.514e+0, -25.1
6.812e+4, 5.183e+0, -2.743e+0, 5.864e+0, -27.9
5.623e+4, 5.430e+0, -3.419e+0, 6.417e+0, -32.2
4.640e+4, 5.755e+0, -3.986e+0, 7.001e+0, -34.7
3.828e+4, 6.132e+0, -4.673e+0, 7.710e+0, -37.3
3.159e+4, 6.593e+0, -5.377e+0, 8.507e+0, -39.2
2.607e+4, 7.121e+0, -6.167e+0, 9.421e+0, -40.9
2.153e+4, 7.737e+0, -7.017e+0, 1.045e+1, -42.2
1.777e+4, 8.448e+0, -7.954e+0, 1.160e+1, -43.3
1.467e+4, 9.276e+0, -8.972e+0, 1.290e+1, -44.0
1.211e+4, 1.029e+1, -1.010e+1, 1.442e+1, -44.5
9.985e+3, 1.148e+1, -1.138e+1, 1.616e+1, -44.7
8.179e+3, 1.282e+1, -1.278e+1, 1.810e+1, -44.9
6.738e+3, 1.435e+1, -1.423e+1, 2.021e+1, -44.8
5.566e+3, 1.610e+1, -1.571e+1, 2.250e+1, -44.3
4.590e+3, 1.810e+1, -1.720e+1, 2.496e+1, -43.5
3.809e+3, 2.041e+1, -1.864e+1, 2.764e+1, -42.4
3.125e+3, 2.304e+1, -2.003e+1, 3.053e+1, -41.0
2.588e+3, 2.592e+1, -2.134e+1, 3.357e+1, -39.5
2.148e+3, 2.912e+1, -2.254e+1, 3.682e+1, -37.7
1.758e+3, 3.260e+1, -2.352e+1, 4.020e+1, -35.8
1.465e+3, 3.634e+1, -2.419e+1, 4.365e+1, -33.7
1.196e+3, 4.037e+1, -2.430e+1, 4.712e+1, -31.0
9.766e+2, 4.444e+1, -2.400e+1, 5.051e+1, -28.4
8.254e+2, 4.823e+1, -2.345e+1, 5.362e+1, -25.9
6.813e+2, 5.172e+1, -2.251e+1, 5.641e+1, -23.5
5.623e+2, 5.521e+1, -2.109e+1, 5.910e+1, -20.9
4.642e+2, 5.854e+1, -1.925e+1, 6.162e+1, -18.2
3.831e+2, 6.114e+1, -1.747e+1, 6.359e+1, -15.9
3.162e+2, 6.305e+1, -1.585e+1, 6.501e+1, -14.1
2.610e+2, 6.474e+1, -1.411e+1, 6.626e+1, -12.3
2.154e+2, 6.614e+1, -1.247e+1, 6.730e+1, -10.7
1.778e+2, 6.727e+1, -1.100e+1, 6.816e+1, -9.3
1.468e+2, 6.829e+1, -9.532e+0, 6.896e+1, -7.9
1.212e+2, 6.907e+1, -8.352e+0, 6.958e+1, -6.9
1.000e+2, 6.962e+1, -7.446e+0, 7.002e+1, -6.1
8.254e+1, 7.011e+1, -6.622e+0, 7.042e+1, -5.4
6.813e+1, 7.053e+1, -5.931e+0, 7.078e+1, -4.8
5.623e+1, 7.091e+1, -5.379e+0, 7.112e+1, -4.3
4.642e+1, 7.126e+1, -4.857e+0, 7.143e+1, -3.9
3.831e+1, 7.159e+1, -4.382e+0, 7.173e+1, -3.5
3.162e+1, 7.191e+1, -4.051e+0, 7.203e+1, -3.2
2.610e+1, 7.223e+1, -3.863e+0, 7.233e+1, -3.1
2.154e+1, 7.255e+1, -3.791e+0, 7.265e+1, -3.0
1.778e+1, 7.289e+1, -3.797e+0, 7.299e+1, -3.0
1.468e+1, 7.327e+1, -3.850e+0, 7.337e+1, -3.0
1.212e+1, 7.367e+1, -3.929e+0, 7.378e+1, -3.1
1.000e+1, 7.410e+1, -4.023e+0, 7.421e+1, -3.1
8.254e+0, 7.456e+1, -4.128e+0, 7.468e+1, -3.2
6.813e+0, 7.507e+1, -4.240e+0, 7.519e+1, -3.2
5.623e+0, 7.563e+1, -4.347e+0, 7.576e+1, -3.3
4.642e+0, 7.623e+1, -4.441e+0, 7.636e+1, -3.3
3.831e+0, 7.685e+1, -4.495e+0, 7.699e+1, -3.3
3.162e+0, 7.750e+1, -4.460e+0, 7.762e+1, -3.3
2.610e+0, 7.815e+1, -4.389e+0, 7.828e+1, -3.2
2.154e+0, 7.881e+1, -4.361e+0, 7.893e+1, -3.2
1.778e+0, 7.950e+1, -4.333e+0, 7.961e+1, -3.1
1.468e+0, 8.020e+1, -4.311e+0, 8.032e+1, -3.1
1.212e+0, 8.083e+1, -4.333e+0, 8.095e+1, -3.1
1.000e+0, 8.144e+1, -4.374e+0, 8.155e+1, -3.1
8.254e-1, 8.199e+1, -4.441e+0, 8.211e+1, -3.1
6.813e-1, 8.248e+1, -4.538e+0, 8.260e+1, -3.1
5.623e-1, 8.296e+1, -4.649e+0, 8.309e+1, -3.2
4.642e-1, 8.346e+1, -4.774e+0, 8.360e+1, -3.3
3.831e-1, 8.399e+1, -4.897e+0, 8.413e+1, -3.3
3.162e-1, 8.453e+1, -4.986e+0, 8.468e+1, -3.4
2.610e-1, 8.508e+1, -5.092e+0, 8.524e+1, -3.4
2.154e-1, 8.565e+1, -5.273e+0, 8.581e+1, -3.5
1.778e-1, 8.624e+1, -5.513e+0, 8.641e+1, -3.7
1.468e-1, 8.684e+1, -5.799e+0, 8.704e+1, -3.8
1.212e-1, 8.749e+1, -6.108e+0, 8.770e+1, -4.0
1.000e-1, 8.817e+1, -6.437e+0, 8.840e+1, -4.2
