Dec. 3, 2025   21:28:09
A.C. Impedance
File: c:\Data Source:  Experiment
Instrument Model:  CHI604F
Header: 
Note: 

Init E (V) = -0.003
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+4, 4.706e+0, -1.086e+0, 4.830e+0, -13.0
6.812e+4, 4.824e+0, -1.276e+0, 4.990e+0, -14.8
5.623e+4, 5.035e+0, -1.658e+0, 5.301e+0, -18.2
4.640e+4, 5.264e+0, -1.897e+0, 5.595e+0, -19.8
3.828e+4, 5.529e+0, -2.187e+0, 5.945e+0, -21.6
3.159e+4, 5.820e+0, -2.432e+0, 6.307e+0, -22.7
2.607e+4, 6.137e+0, -2.700e+0, 6.705e+0, -23.7
2.153e+4, 6.479e+0, -2.961e+0, 7.124e+0, -24.6
1.777e+4, 6.851e+0, -3.237e+0, 7.577e+0, -25.3
1.467e+4, 7.257e+0, -3.514e+0, 8.063e+0, -25.8
1.211e+4, 7.731e+0, -3.800e+0, 8.614e+0, -26.2
9.985e+3, 8.265e+0, -4.112e+0, 9.231e+0, -26.5
8.179e+3, 8.832e+0, -4.455e+0, 9.892e+0, -26.8
6.738e+3, 9.438e+0, -4.790e+0, 1.058e+1, -26.9
5.566e+3, 1.009e+1, -5.102e+0, 1.131e+1, -26.8
4.590e+3, 1.080e+1, -5.381e+0, 1.206e+1, -26.5
3.809e+3, 1.158e+1, -5.609e+0, 1.286e+1, -25.8
3.125e+3, 1.242e+1, -5.799e+0, 1.371e+1, -25.0
2.588e+3, 1.329e+1, -5.957e+0, 1.457e+1, -24.1
2.148e+3, 1.422e+1, -6.044e+0, 1.545e+1, -23.0
1.758e+3, 1.516e+1, -6.044e+0, 1.632e+1, -21.7
1.465e+3, 1.611e+1, -5.947e+0, 1.717e+1, -20.3
1.196e+3, 1.706e+1, -5.716e+0, 1.799e+1, -18.5
9.766e+2, 1.794e+1, -5.420e+0, 1.875e+1, -16.8
8.254e+2, 1.871e+1, -5.110e+0, 1.940e+1, -15.3
6.813e+2, 1.937e+1, -4.738e+0, 1.994e+1, -13.7
5.623e+2, 1.999e+1, -4.278e+0, 2.044e+1, -12.1
4.642e+2, 2.055e+1, -3.766e+0, 2.089e+1, -10.4
3.831e+2, 2.097e+1, -3.323e+0, 2.123e+1, -9.0
3.162e+2, 2.126e+1, -2.958e+0, 2.147e+1, -7.9
2.610e+2, 2.152e+1, -2.602e+0, 2.167e+1, -6.9
2.154e+2, 2.173e+1, -2.289e+0, 2.185e+1, -6.0
1.778e+2, 2.190e+1, -2.021e+0, 2.199e+1, -5.3
1.468e+2, 2.206e+1, -1.764e+0, 2.213e+1, -4.6
1.212e+2, 2.218e+1, -1.569e+0, 2.224e+1, -4.0
1.000e+2, 2.228e+1, -1.426e+0, 2.232e+1, -3.7
8.254e+1, 2.236e+1, -1.305e+0, 2.240e+1, -3.3
6.813e+1, 2.245e+1, -1.217e+0, 2.248e+1, -3.1
5.623e+1, 2.252e+1, -1.159e+0, 2.255e+1, -2.9
4.642e+1, 2.260e+1, -1.102e+0, 2.263e+1, -2.8
3.831e+1, 2.269e+1, -1.056e+0, 2.271e+1, -2.7
3.162e+1, 2.277e+1, -1.050e+0, 2.280e+1, -2.6
2.610e+1, 2.287e+1, -1.085e+0, 2.289e+1, -2.7
2.154e+1, 2.297e+1, -1.155e+0, 2.300e+1, -2.9
1.778e+1, 2.309e+1, -1.249e+0, 2.312e+1, -3.1
1.468e+1, 2.322e+1, -1.358e+0, 2.326e+1, -3.3
1.212e+1, 2.337e+1, -1.478e+0, 2.342e+1, -3.6
1.000e+1, 2.354e+1, -1.604e+0, 2.359e+1, -3.9
8.254e+0, 2.372e+1, -1.738e+0, 2.378e+1, -4.2
6.813e+0, 2.393e+1, -1.885e+0, 2.401e+1, -4.5
5.623e+0, 2.418e+1, -2.042e+0, 2.426e+1, -4.8
4.642e+0, 2.446e+1, -2.203e+0, 2.456e+1, -5.1
3.831e+0, 2.477e+1, -2.360e+0, 2.489e+1, -5.4
3.162e+0, 2.512e+1, -2.496e+0, 2.524e+1, -5.7
2.610e+0, 2.550e+1, -2.619e+0, 2.563e+1, -5.9
2.154e+0, 2.590e+1, -2.757e+0, 2.605e+1, -6.1
1.778e+0, 2.638e+1, -2.888e+0, 2.653e+1, -6.2
1.468e+0, 2.689e+1, -3.011e+0, 2.706e+1, -6.4
1.212e+0, 2.736e+1, -3.145e+0, 2.754e+1, -6.6
1.000e+0, 2.783e+1, -3.283e+0, 2.802e+1, -6.7
8.254e-1, 2.826e+1, -3.428e+0, 2.846e+1, -6.9
6.813e-1, 2.865e+1, -3.581e+0, 2.888e+1, -7.1
5.623e-1, 2.906e+1, -3.737e+0, 2.930e+1, -7.3
4.642e-1, 2.949e+1, -3.905e+0, 2.974e+1, -7.5
3.831e-1, 2.994e+1, -4.083e+0, 3.022e+1, -7.8
3.162e-1, 3.042e+1, -4.266e+0, 3.071e+1, -8.0
2.610e-1, 3.092e+1, -4.473e+0, 3.124e+1, -8.2
2.154e-1, 3.146e+1, -4.726e+0, 3.181e+1, -8.5
1.778e-1, 3.203e+1, -5.019e+0, 3.242e+1, -8.9
1.468e-1, 3.265e+1, -5.345e+0, 3.309e+1, -9.3
1.212e-1, 3.333e+1, -5.694e+0, 3.381e+1, -9.7
1.000e-1, 3.406e+1, -6.066e+0, 3.459e+1, -10.1
